t_s,iz_id,x_m,y_m,guven,u_px,v_px,h,s,v
899.937,1,12.952,24.452,0.925,1453.2,578.0,99,44,145
899.937,2,16.892,18.476,0.903,1312.7,372.3,118,108,205
899.937,3,19.6,11.069,0.889,1158.0,251.3,60,19,166
899.937,4,5.133,14.231,0.886,549.9,364.3,127,23,150
899.937,5,9.477,14.3,0.882,824.0,326.7,101,38,182
899.937,6,21.859,12.193,0.816,1251.2,264.3,91,37,197
899.937,7,26.27,21.924,0.802,1621.1,401.1,97,31,177
899.937,8,27.976,20.285,0.78,1593.9,370.3,62,30,190
899.937,9,20.831,5.836,0.773,1067.9,199.6,115,23,239
899.937,10,28.011,5.138,0.772,1223.1,200.0,105,7,253
899.937,11,34.048,14.183,0.74,1513.8,288.6,62,14,209
899.937,12,26.931,8.717,0.644,1278.8,229.5,20,72,171
899.937,13,18.752,13.361,0.563,1197.4,281.1,16,35,190
899.937,14,17.528,14.429,0.558,1191.1,298.3,27,26,193
899.937,15,49.239,15.581,0.479,1659.3,302.9,125,106,157
900.037,1,13.057,24.465,0.922,1457.8,576.5,90,32,143
900.037,2,16.98,18.465,0.899,1315.2,371.7,118,120,198
900.037,3,20.222,10.978,0.863,1173.8,250.1,75,27,177
900.037,4,5.165,14.153,0.882,550.9,362.3,126,22,148
900.037,5,9.512,14.29,0.885,825.8,326.3,102,50,192
900.037,6,21.795,12.166,0.823,1248.8,264.0,92,38,197
900.037,7,27.001,21.667,0.818,1621.9,394.4,99,36,178
900.037,8,27.654,20.211,0.871,1588.0,369.9,62,22,191
900.037,9,21.028,5.84,0.782,1073.5,199.7,111,27,232
900.037,10,28.031,5.134,0.781,1223.4,200.0,110,6,254
900.037,11,34.058,14.181,0.794,1513.9,288.6,58,10,213
900.037,12,26.968,8.684,0.607,1278.8,229.3,20,82,185
900.037,14,17.503,14.567,0.751,1194.7,300.5,27,24,193
900.037,15,49.377,15.532,0.434,1659.3,302.5,125,107,157
900.137,1,13.161,24.528,0.922,1464.9,576.9,87,27,141
900.137,2,17.135,18.395,0.891,1317.4,369.7,119,115,201
900.137,3,20.585,10.94,0.864,1183.1,249.6,76,25,169
900.137,4,5.214,14.091,0.879,553.2,360.4,126,21,149
900.137,5,9.576,14.285,0.892,829.4,325.8,102,47,191
900.137,6,22.289,11.678,0.79,1248.1,258.1,94,46,218
900.137,7,27.121,21.629,0.803,1622.1,393.5,96,48,176
900.137,8,27.498,20.167,0.862,1584.8,369.6,62,22,192
900.137,9,21.31,5.832,0.691,1081.0,199.7,60,27,230
900.137,10,28.331,4.853,0.784,1223.7,198.2,135,7,255
900.137,11,34.118,14.142,0.802,1513.7,288.2,58,10,217
900.137,12,26.751,8.815,0.606,1277.4,230.3,19,84,171
900.137,14,17.511,14.821,0.805,1203.2,304.4,25,14,187
900.137,15,49.417,15.519,0.448,1659.3,302.4,125,107,157
900.237,1,13.365,24.586,0.92,1475.2,575.3,90,26,146
900.237,2,17.272,18.345,0.882,1319.8,368.1,118,113,200
900.237,3,20.614,11.288,0.794,1193.2,253.6,81,22,172
900.237,4,5.257,14.152,0.87,557.0,361.3,118,19,149
900.237,5,9.683,14.194,0.884,832.9,323.4,102,45,192
900.237,6,19.032,14.468,0.645,1239.9,296.7,90,24,177
900.237,7,27.207,21.673,0.866,1624.3,393.9,91,48,178
900.237,8,27.728,20.003,0.839,1583.0,366.6,64,20,192
900.237,9,21.39,5.947,0.669,1085.7,200.7,49,27,234
900.237,10,27.542,5.655,0.708,1224.4,203.6,101,6,253
900.237,11,34.193,14.118,0.796,1514.1,288.0,58,9,222
900.237,12,26.407,9.111,0.772,1277.2,232.8,20,63,164
900.237,15,49.487,15.494,0.439,1659.2,302.2,125,107,157
900.337,1,13.572,24.665,0.914,1486.4,574.3,100,41,152
900.337,2,17.549,18.191,0.885,1322.6,363.9,119,93,205
900.337,4,5.291,14.18,0.873,559.6,361.5,122,20,149
900.337,5,9.808,14.065,0.882,836.4,320.2,102,54,195
900.337,6,18.314,15.104,0.649,1238.3,307.4,60,25,179
900.337,7,27.289,21.721,0.871,1626.6,394.4,92,43,178
900.337,8,28.011,19.822,0.848,1581.4,363.3,66,22,189
900.337,9,21.573,5.9,0.798,1089.7,200.4,40,30,239
900.337,10,29.821,3.467,0.679,1224.9,189.9,150,10,255
900.337,11,34.22,14.104,0.795,1514.1,287.8,58,10,220
900.337,12,26.38,9.195,0.682,1278.6,233.6,17,59,163
900.337,15,49.522,15.488,0.454,1659.3,302.1,126,107,157
900.437,1,13.758,24.731,0.906,1496.0,573.4,101,82,153
900.437,2,17.699,18.14,0.886,1325.3,362.4,119,77,208
900.437,4,5.307,14.206,0.869,561.1,361.9,122,20,150
900.437,5,9.912,13.947,0.872,839.1,317.4,103,61,198
900.437,6,18.316,15.259,0.696,1243.5,309.9,12,28,191
900.437,7,27.675,21.733,0.834,1631.1,393.4,96,55,179
900.437,8,28.152,19.711,0.847,1580.1,361.4,62,24,188
900.437,9,21.58,5.982,0.615,1091.6,201.1,37,34,239
900.437,10,29.072,4.222,0.739,1225.5,194.4,150,12,255
900.437,11,34.236,14.095,0.8,1514.1,287.7,58,9,235
900.437,12,26.469,9.237,0.736,1281.4,234.1,20,62,163
900.437,15,49.573,15.477,0.431,1659.4,302.0,127,109,156
900.437,3,21.488,11.598,0.665,1225.3,257.2,90,26,176
900.537,1,13.829,24.775,0.904,1500.6,573.6,102,76,152
900.537,2,17.786,18.129,0.894,1327.5,361.9,119,48,208
900.537,4,5.339,14.126,0.858,562.0,359.8,122,21,151
900.537,5,9.976,13.88,0.873,840.8,315.9,103,64,206
900.537,6,18.495,15.445,0.571,1255.1,312.5,16,24,184
900.537,7,28.088,21.704,0.798,1634.6,391.7,92,40,178
900.537,8,28.111,19.654,0.837,1578.0,360.7,65,31,188
900.537,9,21.73,6.02,0.676,1096.5,201.5,90,31,238
900.537,10,30.933,2.546,0.325,1227.9,185.0,150,16,255
900.537,11,34.155,14.098,0.778,1513.2,287.8,58,9,227
900.537,12,26.588,9.203,0.632,1283.0,233.9,35,52,163
900.537,15,49.499,15.5,0.469,1659.4,302.2,128,109,156
900.537,3,21.752,11.734,0.757,1235.9,258.8,99,39,196
900.637,1,13.866,24.798,0.91,1503.0,573.8,101,64,154
900.637,2,17.831,18.142,0.903,1329.3,361.9,118,42,207
900.637,4,5.331,14.132,0.876,561.5,360.0,122,21,149
900.637,5,10.015,13.887,0.871,843.1,315.7,102,54,201
900.637,6,18.871,15.591,0.792,1271.2,314.2,15,31,189
900.637,7,28.367,21.766,0.854,1639.2,391.8,94,42,168
900.637,8,28.073,19.627,0.842,1576.8,360.3,60,36,189
900.637,9,21.946,6.032,0.742,1102.5,201.7,104,34,240
900.637,10,32.801,0.886,0.569,1230.4,176.8,153,26,214
900.637,11,34.133,14.088,0.771,1512.7,287.7,54,9,236
900.637,12,27.04,8.96,0.519,1286.5,231.9,26,44,147
900.637,15,49.457,15.509,0.455,1659.3,302.3,128,109,156
900.637,3,21.911,12.327,0.734,1256.2,265.9,75,14,176
900.637,19,21.937,10.983,0.833,1220.7,250.1,91,36,200
900.737,1,13.956,24.853,0.888,1508.7,574.2,101,83,153
900.737,2,17.992,18.106,0.886,1332.8,360.7,118,31,207
900.737,4,5.378,14.037,0.891,563.2,357.5,123,21,145
900.737,5,10.028,13.944,0.878,845.4,316.7,100,36,195
900.737,6,19.316,15.585,0.84,1283.9,313.3,28,22,193
900.737,7,28.549,21.898,0.811,1644.6,393.3,98,59,169
900.737,8,28.487,19.431,0.857,1576.5,356.7,58,29,187
900.737,9,22.251,5.926,0.714,1108.2,201.0,113,32,236
900.737,10,32.606,1.204,0.595,1232.7,178.5,150,16,248
900.737,11,34.021,14.132,0.815,1512.4,288.1,34,7,249
900.737,15,48.878,15.65,0.449,1658.5,303.4,148,105,145
900.737,3,22.29,12.533,0.769,1271.4,268.4,60,26,188
900.737,19,22.113,10.673,0.855,1217.1,246.7,91,38,205
900.837,1,14.406,24.778,0.9,1518.2,563.9,102,108,157
900.837,2,18.129,18.12,0.878,1337.3,360.5,118,41,200
900.837,4,5.476,13.906,0.879,567.6,353.7,123,21,147
900.837,5,10.068,13.904,0.884,846.5,315.7,99,31,184
900.837,6,19.606,15.67,0.86,1294.9,314.2,27,15,187
900.837,7,28.988,21.875,0.814,1648.3,391.7,99,65,160
900.837,8,28.691,19.308,0.861,1575.6,354.6,58,24,187
900.837,9,22.468,5.835,0.778,1111.9,200.4,109,34,236
900.837,10,30.342,3.462,0.642,1234.4,190.5,150,12,255
900.837,11,33.981,14.136,0.804,1512.0,288.1,33,7,241
900.837,15,48.718,15.673,0.526,1658.1,303.6,144,112,154
900.837,3,22.487,12.685,0.82,1280.4,270.3,65,22,191
900.837,19,22.239,10.382,0.829,1212.9,243.5,92,35,200
900.937,1,14.547,24.746,0.906,1520.7,560.5,104,101,159
900.937,2,18.289,18.117,0.876,1341.9,359.9,120,70,192
900.937,4,5.625,13.804,0.885,575.6,350.0,123,20,151
900.937,5,10.112,13.898,0.899,848.8,315.4,98,30,174
900.937,6,19.93,16.032,0.78,1315.5,319.4,14,25,198
900.937,7,29.302,21.902,0.848,1652.0,391.2,98,50,161
900.937,8,28.766,19.188,0.892,1573.3,352.8,58,18,190
900.937,9,22.639,5.766,0.741,1114.8,199.9,107,29,240
900.937,10,29.214,4.585,0.674,1235.3,197.3,150,12,253
900.937,11,33.966,14.136,0.812,1511.9,288.1,39,7,243
900.937,15,48.574,15.707,0.504,1657.8,303.9,131,109,155
900.937,3,22.768,12.833,0.807,1291.3,272.1,91,27,192
900.937,19,22.206,10.277,0.73,1209.3,242.4,92,34,198
901.037,1,14.666,24.725,0.919,1523.0,557.9,102,91,159
901.037,2,18.38,18.125,0.854,1344.8,359.7,119,88,198
901.037,4,5.761,13.821,0.892,584.7,348.9,122,19,153
901.037,5,10.209,13.823,0.889,852.0,313.5,99,27,174
901.037,6,20.152,16.297,0.551,1330.1,323.3,115,47,201
901.037,7,29.404,21.982,0.853,1655.1,392.1,94,49,158
901.037,8,28.763,19.135,0.879,1571.8,352.0,58,19,190
901.037,9,22.728,5.792,0.648,1117.6,200.2,108,26,244
901.037,10,29.377,4.561,0.797,1237.9,197.3,150,14,254
901.037,11,34.001,14.117,0.807,1511.9,287.9,40,8,244
901.037,15,48.441,15.742,0.47,1657.7,304.2,123,104,150
901.037,3,22.807,13.198,0.848,1302.4,276.6,45,19,189
901.037,19,22.195,10.149,0.665,1205.8,241.0,92,30,200
901.037,12,27.141,9.044,0.625,1290.4,232.8,22,82,169
901.137,1,14.746,24.729,0.912,1525.4,556.7,101,80,159
901.137,2,18.446,18.114,0.834,1346.2,359.3,119,51,200
901.137,4,5.856,13.834,0.848,591.0,348.2,122,18,155
901.137,5,10.358,13.717,0.881,857.2,310.8,99,31,176
901.137,7,29.673,22.062,0.851,1659.6,392.6,92,49,157
901.137,8,28.778,19.119,0.877,1571.6,351.8,58,18,190
901.137,9,23.002,5.664,0.711,1121.9,199.3,110,24,238
901.137,10,29.445,4.601,0.78,1240.0,197.7,150,15,252
901.137,11,34.043,14.091,0.813,1511.8,287.7,40,8,245
901.137,15,48.475,15.73,0.412,1657.7,304.1,123,104,150
901.137,3,23.285,13.367,0.789,1318.1,278.7,60,14,188
901.137,19,22.235,10.026,0.731,1203.7,239.7,90,29,182
901.137,12,26.899,9.294,0.829,1291.4,235.0,17,75,163
901.237,1,14.805,24.742,0.909,1527.7,556.3,101,67,159
901.237,2,18.431,18.112,0.825,1345.7,359.3,119,33,198
901.237,4,5.894,13.831,0.884,593.4,347.8,123,18,152
901.237,5,10.519,13.647,0.908,863.9,308.7,100,30,175
901.237,7,30.007,22.117,0.814,1664.0,392.4,93,50,157
901.237,8,29.154,18.956,0.869,1571.7,348.9,58,25,192
901.237,9,23.106,5.643,0.765,1124.0,199.2,30,22,238
901.237,10,29.555,4.576,0.763,1241.5,197.6,150,16,249
901.237,11,34.065,14.085,0.794,1511.9,287.6,43,8,241
901.237,15,48.483,15.739,0.448,1657.9,304.2,124,104,146
901.237,3,23.82,13.423,0.842,1331.6,279.3,57,23,185
901.237,19,22.462,9.733,0.809,1202.2,236.7,53,36,181
901.237,12,26.808,9.426,0.827,1292.7,236.2,19,79,159
901.237,6,21.041,16.433,0.777,1357.0,323.9,117,64,195
901.337,1,15.002,24.712,0.897,1531.6,552.2,101,62,157
901.337,2,18.488,18.086,0.812,1346.4,358.6,119,63,189
901.337,4,5.875,13.831,0.854,592.1,348.0,125,18,151
901.337,5,10.654,13.644,0.886,871.0,307.9,101,36,183
901.337,7,30.753,22.085,0.795,1669.5,389.9,97,46,152
901.337,8,29.471,18.821,0.892,1571.9,346.6,58,33,194
901.337,9,23.193,5.595,0.689,1125.2,198.9,92,24,233
901.337,10,29.571,4.645,0.748,1243.2,198.2,150,15,248
901.337,11,34.177,14.032,0.768,1512.0,287.1,45,10,240
901.337,15,48.426,15.768,0.423,1658.0,304.4,124,101,145
901.337,3,24.47,13.317,0.858,1342.6,277.9,56,25,185
901.337,19,22.567,9.643,0.851,1202.6,235.8,55,35,179
901.337,12,26.719,9.574,0.797,1294.4,237.6,21,73,164
901.337,6,21.59,16.387,0.679,1368.6,322.3,27,91,201
901.437,1,15.25,24.674,0.92,1536.4,547.3,102,91,157
901.437,2,18.729,17.983,0.833,1349.4,355.9,120,88,195
901.437,4,5.899,13.767,0.861,592.6,346.5,125,19,148
901.437,5,10.737,13.634,0.9,875.1,307.3,101,34,178
901.437,7,30.9,22.233,0.779,1674.5,391.7,98,71,155
901.437,8,29.599,18.803,0.906,1572.9,346.2,58,41,192
901.437,9,23.254,5.582,0.641,1126.4,198.8,39,24,241
901.437,10,29.657,4.652,0.792,1244.9,198.3,150,17,223
901.437,11,34.299,14.0,0.77,1512.7,286.8,38,9,234
901.437,15,48.514,15.74,0.433,1658.1,304.2,124,101,145
901.437,3,25.884,12.929,0.709,1360.9,273.3,62,23,193
901.437,19,22.438,9.797,0.864,1203.1,237.3,57,33,177
901.437,12,26.525,9.823,0.747,1296.4,239.9,25,61,166
901.437,6,22.505,16.017,0.707,1377.9,315.5,19,81,210
901.537,1,15.393,24.664,0.921,1539.6,544.9,102,101,159
901.537,2,18.928,17.947,0.86,1353.7,354.6,119,82,202
901.537,4,6.017,13.516,0.821,596.0,340.3,128,16,150
901.537,5,10.793,13.625,0.892,877.8,306.8,99,27,166
901.537,7,31.144,22.277,0.818,1677.6,391.7,98,74,155
901.537,8,29.976,18.732,0.887,1575.4,344.7,58,42,192
901.537,9,23.394,5.517,0.826,1128.5,198.4,30,26,239
901.537,10,29.816,4.614,0.774,1247.1,198.2,154,15,239
901.537,11,34.609,13.902,0.732,1514.1,285.8,35,10,222
901.537,15,48.523,15.739,0.485,1658.1,304.2,124,100,145
901.537,3,27.084,12.667,0.597,1376.7,270.5,90,20,239
901.537,19,22.494,9.818,0.822,1205.1,237.6,54,36,178
901.537,12,26.594,9.88,0.782,1299.1,240.5,25,58,167
901.537,6,21.97,16.645,0.687,1385.4,325.7,33,64,209
901.637,1,15.479,24.67,0.919,1542.1,543.9,102,104,161
901.637,2,18.995,17.94,0.86,1355.2,354.3,117,92,201
901.637,4,6.107,13.443,0.832,600.5,338.0,129,16,151
901.637,5,10.81,13.63,0.893,878.9,306.8,99,21,165
901.637,7,31.214,22.381,0.862,1680.8,392.9,93,64,155
901.637,8,30.35,18.692,0.88,1578.6,343.7,58,36,191
901.637,9,23.44,5.528,0.794,1129.9,198.5,79,29,239
901.637,10,29.98,4.631,0.746,1250.4,198.6,150,14,249
901.637,11,34.803,13.85,0.818,1515.1,285.3,35,11,214
901.637,15,48.517,15.73,0.477,1657.9,304.1,124,104,148
901.637,3,25.975,13.945,0.351,1389.4,285.5,90,26,234
901.637,19,22.359,10.017,0.831,1206.6,239.6,60,34,178
901.637,12,26.655,9.94,0.698,1301.7,241.2,31,55,167
901.637,6,21.982,17.027,0.669,1397.8,331.7,18,74,208
901.737,1,15.541,24.675,0.914,1543.9,543.1,102,107,161
901.737,2,19.071,17.929,0.824,1356.9,353.8,118,77,199
901.737,4,6.1,13.677,0.852,604.0,342.6,129,15,153
901.737,5,10.874,13.629,0.895,882.2,306.5,99,23,166
901.737,7,31.32,22.436,0.847,1683.0,393.5,93,56,155
901.737,8,30.779,18.653,0.879,1582.4,342.6,58,32,191
901.737,9,23.621,5.491,0.802,1133.6,198.4,45,31,241
901.737,10,29.853,4.866,0.754,1252.8,200.2,150,13,245
901.737,11,35.194,13.848,0.827,1519.4,285.4,39,9,215
901.737,15,48.596,15.706,0.424,1657.9,303.9,124,104,146
901.737,3,27.289,13.461,0.353,1400.5,279.7,94,28,240
901.737,19,22.637,9.861,0.846,1209.8,238.1,60,35,180
901.737,12,27.152,9.808,0.593,1308.4,240.2,22,69,165
901.737,6,22.105,17.234,0.799,1407.1,334.8,14,65,216
901.837,1,15.564,24.681,0.901,1544.8,543.0,102,112,164
901.837,2,19.254,17.928,0.813,1361.8,353.3,116,46,200
901.837,4,6.166,13.795,0.806,610.2,344.3,128,20,153
901.837,5,10.943,13.665,0.894,886.8,306.7,99,20,168
901.837,7,31.76,22.465,0.822,1687.1,392.7,92,47,153
901.837,8,31.03,18.683,0.874,1585.8,342.7,59,28,192
901.837,9,23.724,5.537,0.827,1137.1,198.8,43,36,241
901.837,10,29.841,4.992,0.704,1255.1,201.2,150,12,248
901.837,11,35.718,13.797,0.842,1524.0,285.0,39,10,212
901.837,15,48.814,15.626,0.397,1657.8,303.2,123,100,158
901.837,3,26.568,14.277,0.532,1409.0,289.5,91,31,242
901.837,19,22.788,10.052,0.863,1218.3,240.1,62,36,182
901.837,12,27.496,9.811,0.767,1315.1,240.5,22,73,181
901.837,6,22.341,17.275,0.859,1413.5,335.0,24,53,209
901.937,1,15.711,24.617,0.876,1545.4,538.9,102,107,163
901.937,2,19.341,17.935,0.874,1364.4,353.2,117,46,199
901.937,4,6.212,13.814,0.835,613.4,344.3,113,20,153
901.937,5,11.112,13.601,0.87,893.8,304.8,100,21,178
901.937,7,32.245,22.472,0.797,1690.9,391.5,86,38,155
901.937,8,31.235,18.732,0.862,1589.2,343.0,53,39,192
901.937,9,23.777,5.58,0.784,1139.2,199.2,45,38,236
901.937,10,29.95,5.108,0.664,1259.3,202.2,150,11,253
901.937,11,35.982,13.889,0.776,1528.8,286.0,54,11,214
901.937,15,48.736,15.657,0.355,1657.9,303.5,124,103,149
901.937,3,26.226,14.728,0.547,1414.9,295.2,90,29,217
901.937,19,23.153,10.086,0.858,1228.2,240.6,64,34,184
901.937,12,27.349,10.097,0.72,1319.0,243.2,22,75,188
901.937,6,22.631,17.304,0.863,1420.5,335.0,23,42,208
902.037,1,16.086,24.435,0.899,1546.0,528.4,102,112,165
902.037,2,19.482,17.951,0.882,1368.6,353.0,117,47,202
902.037,4,6.256,13.849,0.887,616.8,344.6,81,20,154
902.037,5,11.25,13.625,0.869,901.5,304.5,100,39,208
902.037,7,32.704,22.495,0.79,1694.7,390.7,91,42,156
902.037,8,31.672,18.666,0.842,1592.2,341.7,53,34,190
902.037,9,23.901,5.535,0.783,1141.3,199.0,109,30,241
902.037,10,30.198,5.093,0.573,1263.5,202.4,154,11,251
902.037,11,35.485,14.338,0.786,1533.0,290.4,50,11,198
902.037,15,48.982,15.576,0.308,1657.9,302.8,124,102,156
902.037,3,28.278,13.803,0.451,1425.9,283.7,90,26,217
902.037,19,23.374,10.212,0.794,1236.7,242.1,72,40,180
902.037,12,27.136,10.406,0.781,1322.2,246.2,22,69,178
902.037,6,23.106,17.328,0.778,1430.9,334.5,19,53,213
902.137,1,16.249,24.373,0.914,1547.1,524.5,101,101,166
902.137,2,19.65,17.972,0.853,1373.7,352.9,115,54,201
902.137,4,6.272,13.874,0.877,618.3,344.9,73,19,153
902.137,5,11.398,13.565,0.857,907.4,302.8,101,26,199
902.137,7,32.715,22.6,0.8,1697.3,392.1,94,51,156
902.137,8,31.602,18.825,0.872,1595.3,343.8,55,28,190
902.137,9,24.065,5.462,0.823,1143.7,198.5,109,30,240
902.137,10,30.232,5.216,0.366,1266.6,203.4,150,12,255
902.137,11,35.443,14.581,0.781,1537.8,292.9,49,13,175
902.137,15,49.04,15.567,0.345,1658.0,302.7,124,104,153
902.137,3,27.206,14.876,0.341,1435.8,296.8,90,32,218
902.137,19,23.519,10.396,0.767,1244.7,244.1,61,43,182
902.137,12,27.19,10.492,0.74,1325.3,247.1,21,67,180
902.137,6,23.41,17.365,0.851,1438.1,334.6,24,59,211
902.237,1,16.363,24.332,0.917,1547.9,521.9,101,103,167
902.237,2,19.74,17.99,0.848,1376.7,353.0,111,32,205
902.237,4,6.276,13.888,0.875,618.9,345.2,57,19,152
902.237,5,11.533,13.576,0.874,914.5,302.4,94,22,171
902.237,7,33.019,22.568,0.787,1698.7,390.9,90,50,154
902.237,8,31.756,18.927,0.859,1599.4,344.9,55,25,191
902.237,9,24.163,5.467,0.826,1146.2,198.6,107,27,232
902.237,11,35.944,14.722,0.788,1546.0,294.4,40,11,183
902.237,15,49.055,15.562,0.359,1658.0,302.7,123,102,157
902.237,3,28.968,14.123,0.431,1444.8,287.5,92,29,243
902.237,19,23.929,10.481,0.855,1256.5,245.2,68,31,174
902.237,12,27.343,10.482,0.778,1328.0,247.1,20,66,172
902.237,6,23.799,17.327,0.793,1444.4,333.4,21,45,209
902.337,1,16.449,24.31,0.919,1548.9,520.2,100,87,167
902.337,2,19.817,18.023,0.86,1379.8,353.4,109,31,205
902.337,4,6.298,13.921,0.879,620.9,345.6,68,19,152
902.337,5,11.623,13.552,0.89,918.3,301.6,90,21,171
902.337,7,33.187,22.63,0.806,1701.3,391.3,81,38,153
902.337,8,32.235,18.993,0.809,1605.8,345.1,53,20,190
902.337,9,24.302,5.402,0.798,1148.1,198.2,114,27,233
902.337,11,36.569,14.836,0.768,1554.6,295.6,34,12,192
902.337,15,48.89,15.628,0.348,1658.2,303.2,124,103,154
902.337,3,28.13,14.895,0.729,1451.3,296.8,90,28,222
902.337,19,24.375,10.439,0.827,1265.6,244.9,65,29,167
902.337,12,27.079,10.812,0.815,1330.9,250.3,23,50,172
902.337,6,24.135,17.315,0.791,1450.4,332.7,33,33,210
902.437,1,16.544,24.297,0.917,1550.5,518.6,100,81,166
902.437,2,19.872,18.019,0.896,1381.0,353.1,111,33,204
902.437,4,6.353,13.939,0.897,624.7,345.4,83,19,153
902.437,5,11.644,13.554,0.9,919.5,301.5,91,21,171
902.437,7,33.649,22.73,0.802,1706.7,391.5,81,39,154
902.437,8,32.824,19.082,0.752,1613.5,345.5,48,28,189
902.437,9,24.432,5.345,0.746,1149.9,197.9,114,21,228
902.437,11,36.497,15.23,0.799,1562.1,299.6,26,10,217
902.437,15,48.722,15.679,0.279,1658.2,303.7,125,104,150
902.437,3,27.281,15.683,0.702,1458.4,307.0,90,30,205
902.437,19,24.893,10.323,0.689,1274.2,244.0,76,23,169
902.437,12,26.828,11.161,0.881,1334.5,253.9,27,51,174
902.437,6,24.468,17.375,0.389,1458.2,333.2,30,35,210
902.537,1,16.745,24.256,0.912,1553.3,515.1,101,73,166
902.537,2,19.914,18.02,0.903,1382.1,353.0,114,43,205
902.537,4,6.441,13.964,0.823,630.8,345.1,108,16,154
902.537,5,11.667,13.554,0.906,920.6,301.4,83,26,170
902.537,7,34.09,22.929,0.787,1714.2,393.1,83,36,149
902.537,8,33.228,19.123,0.776,1618.2,345.6,45,26,189
902.537,9,24.466,5.385,0.468,1151.6,198.2,30,23,231
902.537,11,36.549,15.534,0.753,1569.0,302.8,26,10,216
902.537,15,48.853,15.645,0.362,1658.3,303.4,124,104,150
902.537,3,27.28,15.863,0.461,1463.2,309.3,90,29,202
902.537,19,24.89,10.61,0.765,1281.2,247.0,104,25,172
902.537,12,26.562,11.496,0.871,1337.6,257.3,41,47,182
902.537,6,24.806,17.449,0.583,1466.4,333.7,26,42,217
902.537,10,30.708,5.318,0.71,1277.0,204.8,150,13,251
902.637,1,16.961,24.218,0.909,1556.5,511.5,101,69,166
902.637,2,20.002,18.009,0.896,1383.9,352.6,116,74,205
902.637,4,6.524,13.996,0.874,636.7,344.9,125,16,157
902.637,5,11.745,13.573,0.9,925.0,301.4,85,21,169
902.637,7,34.0,23.149,0.73,1718.8,396.2,83,38,150
902.637,8,33.474,19.157,0.726,1621.2,345.7,25,31,190
902.637,9,24.551,5.359,0.598,1153.0,198.1,50,27,235
902.637,11,36.701,15.714,0.615,1574.2,304.6,27,13,163
902.637,15,48.823,15.656,0.278,1658.3,303.5,129,107,147
902.637,3,27.645,15.895,0.632,1469.8,309.5,90,29,211
902.637,19,24.339,11.379,0.845,1288.6,255.1,76,28,181
902.637,12,26.852,11.615,0.379,1346.1,258.7,29,51,181
902.637,6,25.182,17.463,0.804,1473.4,333.4,38,41,216
902.637,10,30.641,5.471,0.715,1278.9,205.9,150,21,238
902.737,1,17.092,24.203,0.911,1558.7,509.6,100,86,166
902.737,2,20.065,17.96,0.881,1383.8,351.6,117,50,202
902.737,4,6.563,13.998,0.847,639.2,344.6,104,19,161
902.737,5,11.942,13.622,0.611,936.2,301.3,90,28,185
902.737,7,34.101,23.423,0.785,1725.8,399.7,83,38,152
902.737,8,33.591,19.269,0.767,1624.9,346.9,28,38,195
902.737,9,24.725,5.346,0.652,1156.8,198.2,30,23,231
902.737,11,36.553,15.994,0.571,1578.8,307.6,47,13,171
902.737,15,48.228,15.856,0.428,1658.4,305.1,129,113,148
902.737,3,27.772,15.96,0.808,1473.5,310.3,73,31,193
902.737,19,24.337,11.653,0.84,1295.6,258.2,46,24,183
902.737,12,27.408,11.625,0.776,1356.8,259.1,25,68,188
902.737,6,25.765,17.441,0.806,1482.5,332.3,30,47,209
902.737,10,30.458,5.786,0.749,1282.0,208.1,150,14,214
902.837,1,17.201,24.216,0.914,1561.6,508.7,100,98,166
902.837,2,20.114,17.938,0.884,1384.3,351.0,117,38,200
902.837,4,6.578,13.996,0.854,640.1,344.4,110,19,161
902.837,5,12.033,13.638,0.872,941.1,301.2,93,31,197
902.837,7,34.358,23.554,0.756,1730.3,400.7,73,31,151
902.837,8,33.78,19.378,0.742,1629.1,348.0,36,35,196
902.837,9,24.873,5.33,0.827,1159.9,198.2,30,25,228
902.837,11,36.995,16.139,0.765,1585.8,309.0,34,10,198
902.837,15,48.417,15.851,0.351,1659.3,305.1,135,114,146
902.837,19,24.509,11.877,0.741,1305.2,260.8,54,23,182
902.837,12,27.918,11.588,0.539,1365.1,259.0,25,59,177
902.837,6,26.126,17.466,0.772,1489.0,332.2,22,57,203
902.837,10,30.783,5.805,0.678,1288.1,208.7,150,11,244
902.937,1,17.273,24.217,0.918,1563.2,508.0,101,103,165
902.937,2,20.208,17.915,0.891,1385.8,350.4,116,41,201
902.937,4,6.578,14.01,0.849,640.4,344.7,115,18,161
902.937,5,12.148,13.659,0.891,947.3,301.0,94,36,196
902.937,7,34.438,23.655,0.792,1733.1,401.9,85,36,149
902.937,8,33.923,19.489,0.775,1632.9,349.2,46,29,188
902.937,9,25.214,5.247,0.715,1166.0,197.8,117,23,234
902.937,11,37.579,16.157,0.76,1591.3,309.1,33,11,198
902.937,15,48.409,15.884,0.274,1659.8,305.4,135,111,146
902.937,19,25.033,11.947,0.806,1318.2,261.7,74,29,185
902.937,12,28.191,11.554,0.705,1369.1,258.8,27,48,174
902.937,6,26.396,17.457,0.812,1493.0,331.7,25,44,207
902.937,10,31.007,5.808,0.668,1292.0,209.0,152,12,244
903.037,1,17.347,24.25,0.912,1566.2,508.1,101,112,165
903.037,2,20.249,17.946,0.906,1387.8,350.8,110,28,201
903.037,4,6.583,14.064,0.852,641.8,345.7,115,17,162
903.037,5,12.222,13.666,0.893,951.1,300.9,92,26,188
